id;id_paket;lokasi;status;timestamp;keterangan
56;12;Jalur Transito Jakarta Barat - Bogor;dalam_perjalanan;2025-01-11 02:27:18;Paket dikirim oleh kurir
57;11;Semarang;terkirim;2025-01-11 05:05:39;Paket berhasil diterima oleh Andi Pratama
58;10;Bandung;terkirim;2025-01-11 07:07:42;Paket berhasil diterima oleh Toni Hermanto
59;12;Hub Tujuan Bogor;sampai_tujuan;2025-01-11 16:27:18;Paket tiba di hub tujuan
60;13;Jakarta Timur;menunggu;2025-01-11 21:01:25;Paket diterima di counter
61;12;Bogor;terkirim;2025-01-11 21:27:18;Paket berhasil diterima oleh Budi Santoso
62;13;Pusat Sortir Jakarta Timur;diproses;2025-01-11 23:01:25;Paket sedang disortir
63;13;Jalur Transito Jakarta Timur - Surabaya;dalam_perjalanan;2025-01-12 09:01:25;Paket dikirim oleh kurir
64;14;Semarang;menunggu;2025-01-12 17:11:53;Paket diterima di counter
65;14;Pusat Sortir Semarang;diproses;2025-01-12 20:11:53;Paket sedang disortir
66;13;Hub Tujuan Surabaya;sampai_tujuan;2025-01-12 21:01:25;Paket tiba di hub tujuan
67;13;Surabaya;terkirim;2025-01-13 01:01:25;Paket berhasil diterima oleh Rahmat Hidayat
68;14;Jalur Transito Semarang - Karawang;dalam_perjalanan;2025-01-13 05:11:53;Paket dikirim oleh kurir
69;14;Hub Tujuan Karawang;sampai_tujuan;2025-01-13 16:11:53;Paket tiba di hub tujuan
70;14;Karawang;terkirim;2025-01-13 23:11:53;Paket berhasil diterima oleh Wati Kurnia
71;15;Tangerang;menunggu;2025-01-17 17:25:17;Paket diterima di counter
72;15;Pusat Sortir Tangerang;diproses;2025-01-17 18:25:17;Paket sedang disortir
73;15;Jalur Transito Tangerang - Surabaya;dalam_perjalanan;2025-01-18 02:25:17;Paket dikirim oleh kurir
74;16;Yogyakarta;menunggu;2025-01-18 04:44:21;Paket diterima di counter
75;16;Pusat Sortir Yogyakarta;diproses;2025-01-18 07:44:21;Paket sedang disortir
76;15;Hub Tujuan Surabaya;sampai_tujuan;2025-01-18 12:25:17;Paket tiba di hub tujuan
77;16;Jalur Transito Yogyakarta - Tangerang;dalam_perjalanan;2025-01-18 14:44:21;Paket dikirim oleh kurir
78;15;Surabaya;terkirim;2025-01-18 20:25:17;Paket berhasil diterima oleh Hendra Wijaya
79;16;Hub Tujuan Tangerang;sampai_tujuan;2025-01-18 20:44:21;Paket tiba di hub tujuan
80;16;Tangerang;terkirim;2025-01-19 08:44:21;Paket berhasil diterima oleh Agus Setiawan
81;17;Bogor;menunggu;2025-01-19 11:09:13;Paket diterima di counter
82;17;Pusat Sortir Bogor;diproses;2025-01-19 12:09:13;Paket sedang disortir
83;17;Jalur Transito Bogor - Jakarta Selatan;dalam_perjalanan;2025-01-19 22:09:13;Paket dikirim oleh kurir
84;17;Hub Tujuan Jakarta Selatan;sampai_tujuan;2025-01-20 02:09:13;Paket tiba di hub tujuan
85;17;Jakarta Selatan;terkirim;2025-01-20 14:09:13;Paket berhasil diterima oleh Sari Indah
86;18;Jakarta Selatan;menunggu;2025-01-21 20:46:03;Paket diterima di counter
87;18;Pusat Sortir Jakarta Selatan;diproses;2025-01-21 21:46:03;Paket sedang disortir
88;19;Semarang;menunggu;2025-01-22 03:25:27;Paket diterima di counter
89;19;Pusat Sortir Semarang;diproses;2025-01-22 05:25:27;Paket sedang disortir
90;18;Jalur Transito Jakarta Selatan - Bogor;dalam_perjalanan;2025-01-22 07:46:03;Paket dikirim oleh kurir
91;20;Jakarta Timur;menunggu;2025-01-22 09:38:45;Paket diterima di counter
92;19;Jalur Transito Semarang - Jakarta Timur;dalam_perjalanan;2025-01-22 10:25:27;Paket dikirim oleh kurir
93;20;Pusat Sortir Jakarta Timur;diproses;2025-01-22 12:38:45;Paket sedang disortir
94;18;Hub Tujuan Bogor;sampai_tujuan;2025-01-22 15:46:03;Paket tiba di hub tujuan
95;19;Hub Tujuan Jakarta Timur;sampai_tujuan;2025-01-22 21:25:27;Paket tiba di hub tujuan
96;20;Jalur Transito Jakarta Timur - Surabaya;dalam_perjalanan;2025-01-22 21:38:45;Paket dikirim oleh kurir
97;18;Bogor;terkirim;2025-01-23 02:46:03;Paket berhasil diterima oleh Dewi Lestari
98;19;Jakarta Timur;terkirim;2025-01-23 04:25:27;Paket berhasil diterima oleh Lestari Wulandari
99;20;Hub Tujuan Surabaya;sampai_tujuan;2025-01-23 09:38:45;Paket tiba di hub tujuan
100;20;Surabaya;terkirim;2025-01-23 15:38:45;Paket berhasil diterima oleh Siti Rahma
101;21;Jakarta Timur;menunggu;2025-01-24 04:30:09;Paket diterima di counter
102;21;Pusat Sortir Jakarta Timur;diproses;2025-01-24 07:30:09;Paket sedang disortir
103;21;Jalur Transito Jakarta Timur - Karawang;dalam_perjalanan;2025-01-24 09:30:09;Paket dikirim oleh kurir
104;21;Hub Tujuan Karawang;sampai_tujuan;2025-01-25 00:30:09;Paket tiba di hub tujuan
105;21;Karawang;terkirim;2025-01-25 09:30:09;Paket berhasil diterima oleh Dian Sasmita
106;22;Bogor;menunggu;2025-01-26 06:18:05;Paket diterima di counter
107;22;Pusat Sortir Bogor;diproses;2025-01-26 07:18:05;Paket sedang disortir
108;23;Semarang;menunggu;2025-01-26 12:58:14;Paket diterima di counter
109;23;Pusat Sortir Semarang;diproses;2025-01-26 14:58:14;Paket sedang disortir
110;22;Jalur Transito Bogor - Jakarta Pusat;dalam_perjalanan;2025-01-26 17:18:05;Paket dikirim oleh kurir
111;23;Jalur Transito Semarang - Bandung;dalam_perjalanan;2025-01-26 18:58:14;Paket dikirim oleh kurir
112;24;Jakarta Barat;menunggu;2025-01-26 20:42:37;Paket diterima di counter
113;25;Jakarta Selatan;menunggu;2025-01-26 21:53:57;Paket diterima di counter
114;24;Pusat Sortir Jakarta Barat;diproses;2025-01-26 22:42:37;Paket sedang disortir
115;25;Pusat Sortir Jakarta Selatan;diproses;2025-01-27 00:53:57;Paket sedang disortir
116;22;Hub Tujuan Jakarta Pusat;sampai_tujuan;2025-01-27 04:18:05;Paket tiba di hub tujuan
117;25;Jalur Transito Jakarta Selatan - Tangerang;dalam_perjalanan;2025-01-27 04:53:57;Paket dikirim oleh kurir
118;24;Jalur Transito Jakarta Barat - Semarang;dalam_perjalanan;2025-01-27 05:42:37;Paket dikirim oleh kurir
119;23;Hub Tujuan Bandung;sampai_tujuan;2025-01-27 08:58:14;Paket tiba di hub tujuan
120;22;Jakarta Pusat;terkirim;2025-01-27 11:18:05;Paket berhasil diterima oleh Rahmat Hidayat
121;26;Depok;menunggu;2025-01-27 11:28:39;Paket diterima di counter
122;26;Pusat Sortir Depok;diproses;2025-01-27 13:28:39;Paket sedang disortir
123;24;Hub Tujuan Semarang;sampai_tujuan;2025-01-27 17:42:37;Paket tiba di hub tujuan
124;27;Karawang;menunggu;2025-01-27 17:45:50;Paket diterima di counter
125;25;Hub Tujuan Tangerang;sampai_tujuan;2025-01-27 17:53:57;Paket tiba di hub tujuan
126;23;Bandung;terkirim;2025-01-27 18:58:14;Paket berhasil diterima oleh Gita Saraswati
127;27;Pusat Sortir Karawang;diproses;2025-01-27 19:45:50;Paket sedang disortir
128;26;Jalur Transito Depok - Yogyakarta;dalam_perjalanan;2025-01-27 21:28:39;Paket dikirim oleh kurir
129;25;Tangerang;terkirim;2025-01-27 22:53:57;Paket berhasil diterima oleh Lestari Wulandari
130;24;Semarang;terkirim;2025-01-28 00:42:37;Paket berhasil diterima oleh Rahmat Hidayat
131;26;Hub Tujuan Yogyakarta;sampai_tujuan;2025-01-28 04:28:39;Paket tiba di hub tujuan
132;27;Jalur Transito Karawang - Bekasi;dalam_perjalanan;2025-01-28 05:45:50;Paket dikirim oleh kurir
133;28;Depok;menunggu;2025-01-28 11:08:10;Paket diterima di counter
134;27;Hub Tujuan Bekasi;sampai_tujuan;2025-01-28 11:45:50;Paket tiba di hub tujuan
135;28;Pusat Sortir Depok;diproses;2025-01-28 13:08:10;Paket sedang disortir
136;26;Yogyakarta;terkirim;2025-01-28 17:28:39;Paket berhasil diterima oleh Maya Kartika
137;28;Jalur Transito Depok - Jakarta Selatan;dalam_perjalanan;2025-01-28 18:08:10;Paket dikirim oleh kurir
138;27;Bekasi;terkirim;2025-01-28 19:45:50;Paket berhasil diterima oleh Hadi Sunyoto
139;28;Hub Tujuan Jakarta Selatan;sampai_tujuan;2025-01-29 11:08:10;Paket tiba di hub tujuan
140;28;Jakarta Selatan;terkirim;2025-01-29 15:08:10;Paket berhasil diterima oleh Siti Rahma
141;29;Yogyakarta;menunggu;2025-01-30 02:58:39;Paket diterima di counter
142;30;Karawang;menunggu;2025-01-30 05:46:35;Paket diterima di counter
143;29;Pusat Sortir Yogyakarta;diproses;2025-01-30 05:58:39;Paket sedang disortir
144;30;Pusat Sortir Karawang;diproses;2025-01-30 08:46:35;Paket sedang disortir
145;29;Jalur Transito Yogyakarta - Bandung;dalam_perjalanan;2025-01-30 10:58:39;Paket dikirim oleh kurir
146;30;Jalur Transito Karawang - Jakarta Barat;dalam_perjalanan;2025-01-30 17:46:35;Paket dikirim oleh kurir
147;29;Hub Tujuan Bandung;sampai_tujuan;2025-01-31 00:58:39;Paket tiba di hub tujuan
148;30;Hub Tujuan Jakarta Barat;sampai_tujuan;2025-01-31 03:46:35;Paket tiba di hub tujuan
149;29;Bandung;terkirim;2025-01-31 07:58:39;Paket berhasil diterima oleh Siti Rahma
150;30;Jakarta Barat;terkirim;2025-01-31 08:46:35;Paket berhasil diterima oleh Hendra Wijaya
151;31;Jakarta Barat;menunggu;2025-02-01 06:19:27;Paket diterima di counter
152;31;Pusat Sortir Jakarta Barat;diproses;2025-02-01 09:19:27;Paket sedang disortir
153;31;Jalur Transito Jakarta Barat - Surabaya;dalam_perjalanan;2025-02-01 12:19:27;Paket dikirim oleh kurir
154;32;Depok;menunggu;2025-02-01 17:35:02;Paket diterima di counter
155;32;Pusat Sortir Depok;diproses;2025-02-01 19:35:02;Paket sedang disortir
156;32;Jalur Transito Depok - Karawang;dalam_perjalanan;2025-02-02 03:35:02;Paket dikirim oleh kurir
157;31;Hub Tujuan Surabaya;sampai_tujuan;2025-02-02 05:19:27;Paket tiba di hub tujuan
158;31;Surabaya;terkirim;2025-02-02 07:19:27;Paket berhasil diterima oleh Sri Wahyuni
159;32;Hub Tujuan Karawang;sampai_tujuan;2025-02-02 08:35:02;Paket tiba di hub tujuan
160;32;Karawang;terkirim;2025-02-02 21:35:02;Paket berhasil diterima oleh Hendra Wijaya
161;33;Bekasi;menunggu;2025-02-03 04:21:59;Paket diterima di counter
162;33;Pusat Sortir Bekasi;diproses;2025-02-03 06:21:59;Paket sedang disortir
163;33;Jalur Transito Bekasi - Jakarta Barat;dalam_perjalanan;2025-02-03 10:21:59;Paket dikirim oleh kurir
164;34;Bogor;menunggu;2025-02-03 16:32:04;Paket diterima di counter
165;34;Pusat Sortir Bogor;diproses;2025-02-03 17:32:04;Paket sedang disortir
166;35;Semarang;menunggu;2025-02-03 20:27:12;Paket diterima di counter
167;35;Pusat Sortir Semarang;diproses;2025-02-03 22:27:12;Paket sedang disortir
168;33;Hub Tujuan Jakarta Barat;sampai_tujuan;2025-02-04 00:21:59;Paket tiba di hub tujuan
169;34;Jalur Transito Bogor - Semarang;dalam_perjalanan;2025-02-04 01:32:04;Paket dikirim oleh kurir
170;33;Jakarta Barat;terkirim;2025-02-04 06:21:59;Paket berhasil diterima oleh Sari Indah
171;35;Jalur Transito Semarang - Depok;dalam_perjalanan;2025-02-04 08:27:12;Paket dikirim oleh kurir
172;34;Hub Tujuan Semarang;sampai_tujuan;2025-02-04 10:32:04;Paket tiba di hub tujuan
173;35;Hub Tujuan Depok;sampai_tujuan;2025-02-04 12:27:12;Paket tiba di hub tujuan
174;34;Semarang;terkirim;2025-02-04 18:32:04;Paket berhasil diterima oleh Siti Rahma
175;35;Depok;terkirim;2025-02-04 21:27:12;Paket berhasil diterima oleh Gita Saraswati
176;36;Bandung;menunggu;2025-02-05 07:14:07;Paket diterima di counter
177;37;Bekasi;menunggu;2025-02-05 09:06:50;Paket diterima di counter
178;36;Pusat Sortir Bandung;diproses;2025-02-05 09:14:07;Paket sedang disortir
179;37;Pusat Sortir Bekasi;diproses;2025-02-05 11:06:50;Paket sedang disortir
180;37;Jalur Transito Bekasi - Jakarta Selatan;dalam_perjalanan;2025-02-05 14:06:50;Paket dikirim oleh kurir
181;36;Jalur Transito Bandung - Jakarta Barat;dalam_perjalanan;2025-02-05 15:14:07;Paket dikirim oleh kurir
182;38;Semarang;menunggu;2025-02-05 22:08:25;Paket diterima di counter
183;38;Pusat Sortir Semarang;diproses;2025-02-05 23:08:25;Paket sedang disortir
184;37;Hub Tujuan Jakarta Selatan;sampai_tujuan;2025-02-06 06:06:50;Paket tiba di hub tujuan
185;36;Hub Tujuan Jakarta Barat;sampai_tujuan;2025-02-06 07:14:07;Paket tiba di hub tujuan
186;38;Jalur Transito Semarang - Jakarta Selatan;dalam_perjalanan;2025-02-06 08:08:25;Paket dikirim oleh kurir
187;36;Jakarta Barat;terkirim;2025-02-06 11:14:07;Paket berhasil diterima oleh Toni Hermanto
188;37;Jakarta Selatan;terkirim;2025-02-06 12:06:50;Paket berhasil diterima oleh Dewi Lestari
189;39;Surabaya;menunggu;2025-02-06 20:46:20;Paket diterima di counter
190;38;Hub Tujuan Jakarta Selatan;sampai_tujuan;2025-02-06 21:08:25;Paket tiba di hub tujuan
191;39;Pusat Sortir Surabaya;diproses;2025-02-06 21:46:20;Paket sedang disortir
192;38;Jakarta Selatan;terkirim;2025-02-07 01:08:25;Paket berhasil diterima oleh Andi Pratama
193;39;Jalur Transito Surabaya - Jakarta Timur;dalam_perjalanan;2025-02-07 01:46:20;Paket dikirim oleh kurir
194;40;Tangerang;menunggu;2025-02-07 12:28:19;Paket diterima di counter
195;40;Pusat Sortir Tangerang;diproses;2025-02-07 14:28:19;Paket sedang disortir
196;39;Hub Tujuan Jakarta Timur;sampai_tujuan;2025-02-07 14:46:20;Paket tiba di hub tujuan
197;40;Jalur Transito Tangerang - Bandung;dalam_perjalanan;2025-02-07 17:28:19;Paket dikirim oleh kurir
198;39;Jakarta Timur;terkirim;2025-02-07 21:46:20;Paket berhasil diterima oleh Dewi Lestari
199;40;Hub Tujuan Bandung;sampai_tujuan;2025-02-08 08:28:19;Paket tiba di hub tujuan
200;40;Bandung;terkirim;2025-02-08 15:28:19;Paket berhasil diterima oleh Lestari Wulandari
201;41;Tangerang;menunggu;2025-02-09 01:38:06;Paket diterima di counter
202;41;Pusat Sortir Tangerang;diproses;2025-02-09 04:38:06;Paket sedang disortir
203;42;Jakarta Selatan;menunggu;2025-02-09 10:55:03;Paket diterima di counter
204;42;Pusat Sortir Jakarta Selatan;diproses;2025-02-09 11:55:03;Paket sedang disortir
205;43;Yogyakarta;menunggu;2025-02-09 13:36:22;Paket diterima di counter
206;41;Jalur Transito Tangerang - Semarang;dalam_perjalanan;2025-02-09 13:38:06;Paket dikirim oleh kurir
207;43;Pusat Sortir Yogyakarta;diproses;2025-02-09 15:36:22;Paket sedang disortir
208;42;Jalur Transito Jakarta Selatan - Bogor;dalam_perjalanan;2025-02-09 20:55:03;Paket dikirim oleh kurir
209;41;Hub Tujuan Semarang;sampai_tujuan;2025-02-09 21:38:06;Paket tiba di hub tujuan
210;43;Jalur Transito Yogyakarta - Bogor;dalam_perjalanan;2025-02-09 22:36:22;Paket dikirim oleh kurir
211;44;Semarang;menunggu;2025-02-10 00:31:34;Paket diterima di counter
212;44;Pusat Sortir Semarang;diproses;2025-02-10 01:31:34;Paket sedang disortir
213;43;Hub Tujuan Bogor;sampai_tujuan;2025-02-10 04:36:22;Paket tiba di hub tujuan
214;42;Hub Tujuan Bogor;sampai_tujuan;2025-02-10 05:55:03;Paket tiba di hub tujuan
215;44;Jalur Transito Semarang - Yogyakarta;dalam_perjalanan;2025-02-10 06:31:34;Paket dikirim oleh kurir
216;41;Semarang;terkirim;2025-02-10 06:38:06;Paket berhasil diterima oleh Agus Setiawan
217;42;Bogor;terkirim;2025-02-10 13:55:03;Paket berhasil diterima oleh Andi Pratama
218;43;Bogor;terkirim;2025-02-10 14:36:22;Paket berhasil diterima oleh Eko Prasetyo
219;45;Bandung;menunggu;2025-02-10 17:11:49;Paket diterima di counter
220;45;Pusat Sortir Bandung;diproses;2025-02-10 18:11:49;Paket sedang disortir
221;44;Hub Tujuan Yogyakarta;sampai_tujuan;2025-02-10 18:31:34;Paket tiba di hub tujuan
222;45;Jalur Transito Bandung - Jakarta Pusat;dalam_perjalanan;2025-02-11 00:11:49;Paket dikirim oleh kurir
223;44;Yogyakarta;terkirim;2025-02-11 06:31:34;Paket berhasil diterima oleh Sri Wahyuni
224;45;Hub Tujuan Jakarta Pusat;sampai_tujuan;2025-02-11 16:11:49;Paket tiba di hub tujuan
225;45;Jakarta Pusat;terkirim;2025-02-11 20:11:49;Paket berhasil diterima oleh Yanto Sukarno
226;46;Jakarta Barat;menunggu;2025-02-12 02:23:37;Paket diterima di counter
227;47;Yogyakarta;menunggu;2025-02-12 03:09:18;Paket diterima di counter
228;46;Pusat Sortir Jakarta Barat;diproses;2025-02-12 03:23:37;Paket sedang disortir
229;47;Pusat Sortir Yogyakarta;diproses;2025-02-12 04:09:18;Paket sedang disortir
230;46;Jalur Transito Jakarta Barat - Jakarta Selatan;dalam_perjalanan;2025-02-12 11:23:37;Paket dikirim oleh kurir
231;47;Jalur Transito Yogyakarta - Bogor;dalam_perjalanan;2025-02-12 15:09:18;Paket dikirim oleh kurir
232;47;Hub Tujuan Bogor;sampai_tujuan;2025-02-12 19:09:18;Paket tiba di hub tujuan
233;46;Hub Tujuan Jakarta Selatan;sampai_tujuan;2025-02-12 21:23:37;Paket tiba di hub tujuan
234;46;Jakarta Selatan;terkirim;2025-02-13 08:23:37;Paket berhasil diterima oleh Sri Wahyuni
235;47;Bogor;terkirim;2025-02-13 09:09:18;Paket berhasil diterima oleh Eko Prasetyo
236;48;Karawang;menunggu;2025-02-13 18:12:24;Paket diterima di counter
237;48;Pusat Sortir Karawang;diproses;2025-02-13 21:12:24;Paket sedang disortir
238;48;Jalur Transito Karawang - Bandung;dalam_perjalanan;2025-02-14 02:12:24;Paket dikirim oleh kurir
239;49;Jakarta Pusat;menunggu;2025-02-14 03:59:48;Paket diterima di counter
240;49;Pusat Sortir Jakarta Pusat;diproses;2025-02-14 04:59:48;Paket sedang disortir
241;49;Jalur Transito Jakarta Pusat - Tangerang;dalam_perjalanan;2025-02-14 09:59:48;Paket dikirim oleh kurir
242;48;Hub Tujuan Bandung;sampai_tujuan;2025-02-14 10:12:24;Paket tiba di hub tujuan
243;48;Bandung;terkirim;2025-02-14 20:12:24;Paket berhasil diterima oleh Lestari Wulandari
244;49;Hub Tujuan Tangerang;sampai_tujuan;2025-02-14 22:59:48;Paket tiba di hub tujuan
245;49;Tangerang;terkirim;2025-02-15 07:59:48;Paket berhasil diterima oleh Siti Rahma
246;50;Bandung;menunggu;2025-02-16 11:02:27;Paket diterima di counter
247;51;Tangerang;menunggu;2025-02-16 12:25:21;Paket diterima di counter
248;51;Pusat Sortir Tangerang;diproses;2025-02-16 13:25:21;Paket sedang disortir
249;50;Pusat Sortir Bandung;diproses;2025-02-16 14:02:27;Paket sedang disortir
250;51;Jalur Transito Tangerang - Bandung;dalam_perjalanan;2025-02-16 19:25:21;Paket dikirim oleh kurir
251;52;Depok;menunggu;2025-02-16 20:42:33;Paket diterima di counter
252;50;Jalur Transito Bandung - Jakarta Selatan;dalam_perjalanan;2025-02-16 21:02:27;Paket dikirim oleh kurir
253;52;Pusat Sortir Depok;diproses;2025-02-16 23:42:33;Paket sedang disortir
254;50;Hub Tujuan Jakarta Selatan;sampai_tujuan;2025-02-17 04:02:27;Paket tiba di hub tujuan
255;52;Jalur Transito Depok - Jakarta Selatan;dalam_perjalanan;2025-02-17 05:42:33;Paket dikirim oleh kurir
256;51;Hub Tujuan Bandung;sampai_tujuan;2025-02-17 08:25:21;Paket tiba di hub tujuan
257;50;Jakarta Selatan;terkirim;2025-02-17 16:02:27;Paket berhasil diterima oleh Toni Hermanto
258;51;Bandung;terkirim;2025-02-17 18:25:21;Paket berhasil diterima oleh Maya Kartika
259;52;Hub Tujuan Jakarta Selatan;sampai_tujuan;2025-02-17 20:42:33;Paket tiba di hub tujuan
260;52;Jakarta Selatan;terkirim;2025-02-18 01:42:33;Paket berhasil diterima oleh Joko Susilo
261;53;Jakarta Timur;menunggu;2025-02-18 07:03:06;Paket diterima di counter
262;53;Pusat Sortir Jakarta Timur;diproses;2025-02-18 10:03:06;Paket sedang disortir
263;53;Jalur Transito Jakarta Timur - Jakarta Barat;dalam_perjalanan;2025-02-18 16:03:06;Paket dikirim oleh kurir
264;54;Surabaya;menunggu;2025-02-19 00:23:24;Paket diterima di counter
265;53;Hub Tujuan Jakarta Barat;sampai_tujuan;2025-02-19 01:03:06;Paket tiba di hub tujuan
266;54;Pusat Sortir Surabaya;diproses;2025-02-19 02:23:24;Paket sedang disortir
267;54;Jalur Transito Surabaya - Karawang;dalam_perjalanan;2025-02-19 09:23:24;Paket dikirim oleh kurir
268;53;Jakarta Barat;terkirim;2025-02-19 12:03:06;Paket berhasil diterima oleh Rahmat Hidayat
269;54;Hub Tujuan Karawang;sampai_tujuan;2025-02-19 22:23:24;Paket tiba di hub tujuan
270;54;Karawang;terkirim;2025-02-20 01:23:24;Paket berhasil diterima oleh Wati Kurnia
271;55;Tangerang;menunggu;2025-02-24 01:18:05;Paket diterima di counter
272;55;Pusat Sortir Tangerang;diproses;2025-02-24 04:18:05;Paket sedang disortir
273;55;Jalur Transito Tangerang - Karawang;dalam_perjalanan;2025-02-24 11:18:05;Paket dikirim oleh kurir
274;55;Hub Tujuan Karawang;sampai_tujuan;2025-02-24 21:18:05;Paket tiba di hub tujuan
275;55;Karawang;terkirim;2025-02-25 05:18:05;Paket berhasil diterima oleh Sari Indah
276;56;Karawang;menunggu;2025-02-25 18:52:19;Paket diterima di counter
277;56;Pusat Sortir Karawang;diproses;2025-02-25 20:52:19;Paket sedang disortir
278;56;Jalur Transito Karawang - Jakarta Selatan;dalam_perjalanan;2025-02-26 02:52:19;Paket dikirim oleh kurir
